Ocean/Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
Atlantic Ocean,04-Aug-1943,Short Sunderland III,DD859,RAF,5,Atlantic Ocean,C1
Pacific Ocean,15-May-1943,Consolidated PBY-5A Catalina,4403,US Navy,12,near Guadalcanal,A1
Atlantic Ocean,10-May-1944,Consolidated PBY-5A Catalina,46520,US Navy,10,"near Natal, Brazil",A1
Atlantic Ocean,13-Nov-1944,Douglas C-47B (DC-3),43-48478,USAAF,4,North Sea ?,A1
Unknown country,13-Aug-1985,Antonov An-2R,YR-PVU,Aviatia Utilitara,,,A1
Mediterranean Sea,19-May-2016,Airbus A320-232,SU-GCC,EgyptAir,66,near Egyptian coast,C1
Unknown country,15-Jan-1987,Antonov An-2,R108,Angolan AF,,,U1
Unknown country,11-Jul-1945,Curtiss C-46D,44-78070,USAAF,,,A1
Unknown country,20-Sep-1989,BN-2A Islander,N95CA,private,0,unknown,O1
Mediterranean Sea,29-Jul-1955,Douglas C-47A (DC-3),43-48213,USAF,0,near Libya,A1
Antarctica,24-Apr-1958,Antonov An-2T,CCCP-N640,"GUSMP, Directorate of Polar Aviation",0,Mirny Ice St...,O1
Unknown country,12-Sep-1970,unknown,,Unknown,0,,H2
Unknown country,29-Aug-1945,Curtiss C-46D,44-78129,USAAF,,,A1
Unknown country,13-Dec-1944,Curtiss C-46A,42-96779,USAAF,,,A1
Unknown country,24-May-1944,Douglas C-47 (DC-3),41-38704,USAAF,,unknown,A1
Pacific Ocean,02-Jun-1945,Consolidated PBY-5A Catalina,46468,US Navy,8,near Iwo Jima,A1
Antarctica,22-Nov-1962,Douglas R4D-8 (Super DC-3),17188,US Navy,0,Sentinel Ridge,O1
Antarctica,13-Sep-1957,Douglas R4D-6L (DC-3),17274,US Navy,0,McMurdo Stat...,A1
Unknown country,06-Dec-1969,CASA 352 (Ju-52),T.2B-249,Spanish AF,,,U1
Atlantic Ocean,12-Jun-1944,Short Sunderland III,ML880,RAF,11,Bay of Biscay,C1
Unknown country,17-Sep-1945,Curtiss C-46A,42-96765,USAAF,,,A1
Unknown country,17-Apr-1945,Curtiss C-46D,44-77464,USAAF,,,A1
Unknown country,18-Jul-1972,Fairchild AC-119G Flying Boxcar,3164,Republic of China AF,,unknown,U1
Atlantic Ocean,05-Apr-1945,Short Sunderland III,PP140,Norwegian AF,12,near Faroe Islands,A1
Unknown country,25-May-1944,Curtiss C-46A,42-23600,USAAF,4,,A1
Unknown country,date unk.,Antonov An-2R,YU-BFR,Privredna Avijacija Osijek,,,U1
Pacific Ocean,26-Oct-1978,Lockheed P-3C Orion,159892,US Navy,5,near Petropavlovs...,A1
