Ocean/Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
Unknown country,24-Jun-1969,T-39A-1-NO Sabreliner,62-4499,USAF,,unknown,U1
Pacific Ocean,05-Jun-1969,Boeing RC-135E Rivet Amber,62-4137,USAF,19,"near Shemya, AK, ...",A1
Unknown country,01-Jul-1977,Fairchild C-119 Flying Boxcar,3205,Republic of China AF,,unknown,U1
Unknown country,01-Jun-1967,Douglas VC-47D (DC-3),45-1125,USAF,,unknown,A1
Pacific Ocean,21-May-1954,Martin P5M-1 Marlin,126511,US Navy,4,"near Hawaii, USA",A1
Unknown country,11-Mar-1952,Douglas VC-47D (DC-3),44-77257,USAF,,,A1
Atlantic Ocean,13-Sep-1997,Lockheed C-141B Starlifter,65-9405,USAF,9,near Namibia,A1
Unknown country,06-Jul-1945,Douglas C-47A (DC-3),42-100709,USAAF,,Unknown,A1
Unknown country,05-May-1945,Douglas C-47A (DC-3),43-15496,USAAF,,Unknown,A1
Mediterranean Sea,21-Nov-1930,Dornier Do R4 Superwal,I-RONY,SANA,6,near Cap de Creus...,A1
Unknown country,04-Jan-1945,Curtiss C-46D,42-101170,USAAF,,,A1
Unknown country,20-Feb-1944,Consolidated PBY-5A Catalina,5043,US Navy,,,A1
Unknown country,08-Sep-1944,Douglas C-47 (DC-3),41-7863,USAAF,,unknown,A1
Pacific Ocean,01-Feb-1966,Lockheed KC-130F Hercules,149809,USMC,6,"near Dong Hoi, Vi...",C1
Unknown country,07-Mar-1945,PB2B-1 Catalina,A24-203,RAAF,9,,A1
Unknown country,27-Apr-1966,Douglas C-47A (DC-3),47985,French AF,,,U1
Unknown country,14-Aug-1943,Curtiss C-46A,41-12403,USAAF,4,,A1
Atlantic Ocean,15-Oct-1951,Boeing C-97A,49-2602,USAF,12,North Atlantic,A1
Unknown country,23-Jun-1959,CASA 352 (Ju-52),T.2-136,Spanish AF,,,U1
Unknown country,22-Jun-1943,Consolidated PBY-5 Catalina,8312,US Navy,,,A1
Unknown country,29-May-1945,Curtiss C-46D,44-77939,USAAF,,,A1
Unknown country,21-Oct-1951,CASA 352 (Ju-52),T.2-169,Spanish AF,,,U1
Pacific Ocean,08-Mar-1969,Douglas C-47A (DC-3),N65134,Zamrud Airlines,0,"near Hilo, HI, USA",A1
Unknown country,??-???-1947,Douglas R4D-1 (DC-3),12400,USMC,,unknown,U1
Atlantic Ocean,11-Jul-1965,Lockheed EC-121H Super Constellatio,55-0136,USAF,16,"near Nantucket, M...",A1
Atlantic Ocean,05-Nov-1976,Douglas DC-3,HP-671,Inair Panama,2,between Cura...,A1
Unknown country,23-Jan-1964,Douglas HC-47A,42-93794,USAF,,unknown,A1
Antarctica,12-Nov-1961,Douglas R4D-8L (Super DC-3),17219,US Navy,0,Sentinel Ridge,A1
Unknown country,??-MAR-1982,Douglas C-117D (DC-3),N117RR,Foreman Flying Service,,unknown,U1
Unknown country,30-Apr-1945,Curtiss C-46D,42-101219,USAAF,,,A1
Pacific Ocean,21-Jun-1945,OA-10A Canso A (PBY-5A),44-34050,USAAF,11,"near Los Negros, ...",A1
Unknown country,19-Sep-1967,Douglas C-47D (DC-3),43-49520,USAF,,,A1
Antarctica,05-Dec-1965,Douglas LC-47H,17107,US Navy,0,Horlick Moun...,A1
North Pole,??-???-1954,Douglas R4D-5 (DC-3),CCCP-H417,Polyarnaya Aviatsiya,0,Polar Statio...,A1
Unknown country,03-Jul-1969,Douglas DC-3,,SAETA,0,,H2
Pacific Ocean,25-May-1946,Douglas C-54G (DC-4),45-489,USAAF,5,near Guam,A1
Atlantic Ocean,21-Sep-1943,Short Sunderland I,DV969,RAF,11,Bay of Biscay,C1
Unknown country,04-Aug-1992,CASA C-212-M Aviocar 200,T-406,Angolan AF,,,U1
Unknown country,date unk.,Antonov An-12B,T-1206,Indonesian AF,,,U1
Mediterranean Sea,01-Dec-1956,SNCASE SE.161/P7 Languedoc,61/F-SSUN,French AF,10,near Marseille,A1
Unknown country,08-Jun-1942,Consolidated PBY-5 Catalina,2329,US Navy,0,,A1
Unknown country,17-Feb-1954,Douglas C-47B (DC-3),43-16136,USAF,,unknown,A1
Unknown country,07-Jul-1943,Douglas C-47 (DC-3),41-38663,USAAF,,unknown,A1
Unknown country,??-???-1963,Lisunov Li-2P,2210,Czechoslovak AF,,,U1
Unknown country,19-Sep-1944,Douglas C-47A (DC-3),42-100643,USAAF,,,A1
Unknown country,24-Feb-1944,Curtiss C-46A,41-24703,USAAF,,,U1
Atlantic Ocean,21-Dec-1952,Curtiss C-46D,YV-C-ARC,RANSA,3,"near Miami, FL, USA",A1
Atlantic Ocean,08-May-2002,T-39N Sabreliner,165522,US Navy,3,"near Pensacola, F...",A1
Atlantic Ocean,30-Apr-1943,Consolidated Catalina 1A,FP224,RAF,0,"near Freetown, Si...",A1
Unknown country,10-Jul-1968,Douglas C-47D (DC-3),44-77275,USAF,,,A1
Unknown country,30-Aug-1984,BN-2A-26 Islander,S7-AAE,Air Seychelles,,,U1
Mediterranean Sea,11-Sep-1968,SE-210 Caravelle III,F-BOHB,Air France,95,"near Nice, France",A1
Unknown country,17-Oct-1970,Curtiss C-46D,44-78118,USAF,,,A1
Unknown country,??-NOV-1945,Curtiss C-46D,44-77740,USAAF,,,A1
Pacific Ocean,02-Sep-1958,Douglas C-124C Globemaster II,52-1081,USAF,19,near Guam-Agana N...,A1
Unknown country,12-Sep-1945,Douglas C-47B (DC-3),43-16223,USAAF,,unknown,U1
Unknown country,10-Mar-1945,Douglas C-47A (DC-3),43-30753,USAAF,,unknown,A1
Antarctica,08-Oct-1970,Lockheed C-121J Super Constellation,131644,US Navy,0,McMurdo Sound,A1
Unknown country,date unk.,BN-2A-8 Islander,YV-508C,Aero Servicios Caicara,,,U1
Unknown country,16-Jan-1945,Douglas C-47A (DC-3),43-15382,USAAF,,Unknown,A1
Unknown country,19-Sep-1945,Curtiss C-46D,44-77494,USAAF,,,A1
Unknown country,02-Jan-1944,Douglas C-47A (DC-3),42-92046,USAAF,,unknown,A1
Unknown country,01-May-1945,Curtiss C-46D,42-101092,USAAF,,,A1
Unknown country,28-Jan-1945,Douglas C-47A (DC-3),43-30758,USAAF,,unknown,A1
Unknown country,07-Nov-1943,Consolidated PBY-5A Catalina,8070,US Navy,8,,A1
Unknown country,23-Mar-1945,Curtiss C-46D,44-77460,USAAF,,,A1
Atlantic Ocean,25-Aug-2018,Grumman HU-16C Albatross,N1955G,Stargazer Aero,0,near Cape Hattera...,A1
Unknown country,09-May-1945,Douglas C-47 (DC-3),41-38673,USAAF,,unknown,A1
Pacific Ocean,21-Nov-1947,Lockheed P2V-2 Neptune,,US Navy,9,"near San Diego, CA",A1
Unknown country,03-Jan-1945,Curtiss C-46D,44-77349,USAAF,,,A1
Unknown country,21-Sep-1944,Curtiss C-46A,41-24758,USAAF,,,A1
Atlantic Ocean,07-Feb-1960,Douglas C-53D-DO (DC-3),209,Cuban AF,3,Straits of F...,A1
Unknown country,15-Feb-1946,Curtiss C-46D,44-78240,USAAF,,,A1
Unknown country,29-Sep-1945,Curtiss C-46D,44-77447,USAAF,,,A1
Unknown country,16-Sep-1949,Avro 691 Lancastrian C.2,VM730,RAF,0,,A1
Atlantic Ocean,14-Sep-1978,Breguet SP-13A Atlantic,253,Dutch Navy,0,near Ireland [Iri...,A1
Unknown country,date unk.,BN-2A Islander,HP-556XI,Unknown,,,U1
Mediterranean Sea,18-Aug-1968,Antonov An-24V,SU-AOL,UAA,40,near Cyprus,A1
Unknown country,20-Apr-1945,Curtiss C-46D,44-77773,USAAF,,,U1
Pacific Ocean,27-Mar-1949,Consolidated PBY-6A Catalina,64028,US Navy,0,near Johnston Island,A1
Unknown country,02-Jul-1945,Curtiss C-46D,44-78251,USAAF,,,A1
Unknown country,24-Mar-1945,Curtiss C-46D,44-77581,USAAF,,,A1
Atlantic Ocean,22-Sep-1942,Consolidated Catalina IIIA (PBY-5A),FP525,RAF,0,near Jan Mayen,C1
Atlantic Ocean,05-Sep-2015,BAe-125-700A,6V-AIM,Senegalair,7,"near Dakar, Senegal",A1
Unknown country,28-Nov-1954,Douglas C-47A (DC-3),292457/FRAZT,French AF,,,U1
Unknown country,??-???-1984,Douglas C-47D (DC-3),CP-1417,Aerolineas La Paz,,,A1
Unknown country,??-???-1941,Junkers Ju-52/3m,D-AHMS,German AF,,,A1
Unknown country,30-Jun-1945,Douglas C-47A (DC-3),42-100620,USAAF,,Unknown,A1
Unknown country,24-Mar-1945,Curtiss C-46D,44-77474,USAAF,,,A1
Unknown country,??-MAY-1944,Curtiss C-46A,41-12379,USAAF,,,U1
Unknown country,date unk.,BN-2A-8 Islander,TZ-ASC,Unknown,0,,U1
Atlantic Ocean,09-Jul-1940,Short Sunderland I,N6133,RAF,,near Sumburgh Hea...,C1
Unknown country,02-Sep-1944,Curtiss C-46A,42-3639,USAAF,,,U1
Unknown country,07-Apr-1945,Douglas C-47A (DC-3),42-100656,USAAF,,Unknown,A1
Indian Ocean,15-Sep-1944,Consolidated Catalina GR.IIA,VA718,RAF,0,East Point P...,O1
Unknown country,01-Apr-1945,Curtiss C-46D,44-77530,USAAF,,,A1
Unknown country,27-Aug-1945,Curtiss C-46D,44-77338,USAAF,,,A1
Unknown country,10-Aug-1945,Consolidated PBY-6A Catalina,64012,US Navy,,,A1
Unknown country,20-Sep-1989,BN-2A Islander,N119DW,private,0,unknown,O1
Unknown country,19-Feb-1945,Curtiss C-46D,44-77463,USAAF,,,U1
Pacific Ocean,04-Sep-1954,Lockheed P2V-5 Neptune,128357,US Navy,1,near Cape Ostrovn...,C1
Indian Ocean,19-Dec-1945,Douglas C-47B (DC-3),A65-83,RAAF,25,Timor Sea,A1
Atlantic Ocean,14-Feb-1953,Douglas DC-6,N90893,National Airlines,46,near Mobile Point...,A1
Unknown country,26-Aug-1944,Douglas C-47 (DC-3),41-18339,USAAF,,unknown,A1
Unknown country,19-Sep-1944,Douglas C-47A (DC-3),43-15354,USAAF,,,A1
Unknown country,10-May-1943,Consolidated PBY-5 Catalina,8226,US Navy,,,A1
Unknown country,21-Mar-1945,Douglas Dakota III (DC-3),KG534,RAF,,unknown,A1
Unknown country,12-Mar-1945,Douglas C-47B (DC-3),43-49579,USAAF,,unknown,A1
Atlantic Ocean,21-Jan-1943,Short Sunderland I,T9085,RAF,11,Western Appr...,A1
Unknown country,??-???-1967,Bristol 170 Freighter 31M,369,Iraqi AF,,,A1
Unknown country,11-Apr-1945,Curtiss C-46A,42-96573,USAAF,,,A1
Unknown country,23-Aug-1944,Douglas C-47A (DC-3),43-15380,USAAF,,"Unknown, Chi...",A1
Unknown country,date unk.,Antonov An-12B,T-1204,Indonesian AF,,,U1
Unknown country,04-Mar-1954,Douglas C-47A (DC-3),42-93169,USAF,,unknown,A1
Unknown country,22-Oct-1955,Short S.25 Sandringham 7,CX-ANA,CAUSA,,,U1
Unknown country,31-Jul-1944,Curtiss C-46A,42-3568,USAAF,,,U1
Pacific Ocean,28-Dec-1997,Boeing 747-122,N4723U,United Airlines,1,near Tokyo,A1
Unknown country,25-Jun-1945,Douglas C-47A (DC-3),43-15448,USAAF,,Unknown,A1
Atlantic Ocean,30-Mar-1960,Boeing KC-97F Stratofreighter,51-0363,USAF,3,near Cape Canaver...,A1
Unknown country,08-Jun-1945,Douglas C-47 (DC-3),41-38605,USAAF,,unknown,A1
Unknown country,28-Aug-1970,CASA 352 (Ju-52),T.2B-156,Spanish AF,,,U1
Atlantic Ocean,04-Oct-2001,Tupolev Tu-154M,RA-85693,Sibir Airlines,78,"near Adler, Russi...",A1
Atlantic Ocean,09-Nov-1956,Martin P5M-1 Marlin,127705,US Navy,10,near Bermuda,A1
Unknown country,09-Jul-1975,BN-2A-6 Islander,TU-TFW,Interivoire,,,U1
Unknown country,30-Jul-1945,Douglas C-47A (DC-3),42-92677,USAAF,,unknown,A1
Unknown country,03-Nov-1944,Douglas C-47A (DC-3),42-93621,USAAF,,Unknown,A1
Unknown country,24-Mar-1945,Curtiss C-46D,44-77602,USAAF,,,A1
Unknown country,07-Nov-1944,Curtiss C-46A,42-60962,USAAF,,unknown,U1
Unknown country,29-Oct-1943,Douglas C-47A (DC-3),42-23430,USAAF,,between Dinj...,A1
Unknown country,10-Sep-1970,unknown,,Unknown,0,,H2
Atlantic Ocean,18-Sep-1944,Douglas Dakota III (DC-3),KG592,RAF,4,North Sea,A1
Unknown country,30-Sep-1961,Grumman UF-1G Albatross,7230,US Coast Guard,,,A1
Unknown country,04-Jul-1945,Curtiss C-46D,44-77779,USAAF,,,A1
Antarctica,04-Jan-2009,Basler Turbo 67 (DC-3T),C-GEAJ,ALCI Aviation,0,Tony Camp,A2
Unknown country,04-Apr-1946,Douglas Dakota III (DC-3),KG361,RAF,,unknown,A1
Unknown country,09-Aug-1945,Curtiss C-46D,44-77398,USAAF,,,A1
Unknown country,19-Dec-1954,Douglas C-47B (DC-3),349089/FRAZY,French AF,,,U1
Atlantic Ocean,16-Jan-1943,Consolidated PBY-5 Catalina,2310,US Navy,5,"near Brunswick, G...",A1
Pacific Ocean,05-Dec-1948,Douglas C-54D (DC-4),42-72686,USAF,4,near Hawaii,A1
Unknown country,16-Sep-1945,Curtiss C-46D,44-78361,USAAF,,,A1
Unknown country,06-Aug-1945,Douglas C-47A (DC-3),43-30715,USAAF,,unknown,A1
Pacific Ocean,28-Mar-1964,Douglas C-54A (DC-4),N4726V,Facilities Management Corp.,9,near San Fransisc...,A1
Atlantic Ocean,12-Jun-1944,Short Sunderland III,ML760,RAF,11,Bay of Biscay,C1
Unknown country,03-Feb-1973,Douglas C-47 (DC-3),IJ341,Indian AF,,,U1
Atlantic Ocean,30-Jun-1977,Lockheed L-188CF Electra,N126US,Cooperativa Nacional de Montecillos,4,near Bocas del To...,A1
Unknown country,22-Sep-1945,Curtiss C-46D,44-78329,USAAF,,,A1
Unknown country,23-Jul-1945,Douglas C-47A (DC-3),43-15269,USAAF,,unknown,A1
Unknown country,05-Jun-1944,Curtiss C-46A,41-24668,USAAF,,,U1
Atlantic Ocean,10-Apr-1944,Junkers Ju-52/3m,RP+AX,German AF,15,North Sea,A1
Unknown country,02-Oct-1973,Douglas C-47 (DC-3),T.3-25,Spanish AF,,,A1
Atlantic Ocean,13-Nov-1942,Short Sunderland II,W6054,RAF,5,Plymouth Sound,A1
Antarctica,18-Mar-1956,DHC-3 Otter,3687,RCAF,,Knob Lake,A1
Antarctica,03-Mar-1969,DHC-3 Otter,VP-FAM,British Antarctic Survey,0,Stonington I...,A1
Unknown country,26-Jan-1971,Douglas C-47A (DC-3),43-15975,USAF,,,A1
Unknown country,26-May-1942,Lisunov PS-84,CCCP-L3935,Aeroflot,0,,C1
Unknown country,??-???-1973,Yakovlev Yak-40,CCCP-87746,"Aeroflot, Uzbekistan",0,unknown,A1
Atlantic Ocean,18-Jul-1970,Antonov An-22,CCCP-09303,Soviet AF,23,North Atlantic,A1
Unknown country,23-Mar-1946,Curtiss C-46D,44-77403,USAAF,,,A1
Pacific Ocean,13-Jun-1971,Boeing C-135B,61-0331,USAF,24,"near Hawaii, USA",A1
Mediterranean Sea,27-Jul-1952,Douglas C-47A (DC-3),ZS-DFB,Tropic Airways,0,near Benghazi,A1
Unknown country,20-Dec-1945,Douglas C-47 (DC-3),41-38700,USAAF,,unknown,A1
Unknown country,07-Mar-1980,Antonov An-2R,SP-WSP,ZUA,,,A1
Antarctica,09-Jan-1959,Ilyushin Il-12L,CCCP-04249,"GUSMP, Directorate of Polar Aviation",0,Mirny,A1
Unknown country,30-May-1945,Curtiss C-46A,41-24747,USAAF,,,U1
Antarctica,03-Nov-1992,DHC-3T Vazar Turbine Otter,N58JH,Ketchikan Air Service,0,Patriot Hill...,A1
Pacific Ocean,28-Jan-1946,Douglas C-47B (DC-3),43-16421,USAAF,0,near Taiwan,A1
Unknown country,05-Nov-1975,Douglas C-47A (DC-3),T.3-31,Spanish AF,,,U1
Atlantic Ocean,23-Nov-1944,Douglas C-47B (DC-3),43-49209,USAAF,,Atlantic Ocean,A1
Atlantic Ocean,16-May-2015,Antonov An-2R,LY-AET,Klaipedos avialinijos,2,"near Klaipeda, Li...",A1
Atlantic Ocean,25-Dec-1943,Douglas Dakota III (DC-3),FD903,RAF,4,near Spain,A1
Unknown country,19-Aug-1943,Consolidated PBY-5A Catalina,5040,US Navy,2,,A1
Unknown country,15-Jul-1944,Douglas C-47A (DC-3),42-93371,USAAF,4,India or Ban...,A1
Unknown country,14-Feb-1942,Consolidated PBY-5 Catalina,2304,US Navy,,,A1
Unknown country,23-Oct-1968,Douglas VC-47A (DC-3),42-23966,USAF,,unknown,A1
Pacific Ocean,23-Aug-1995,Lockheed L-1011 TriStar 1,N781DL,Delta Air Lines,0,"near Los Angeles,...",A1
Atlantic Ocean,12-Aug-1942,Short Sunderland Mk II,T9090,RAAF,10,"near Brest, France",A1
Unknown country,09-May-1980,Antonov An-2T,SP-DNF,WSK Mielec,,,A1
Unknown country,15-Dec-1959,Douglas C-47D (DC-3),43-48271,USAF,,,A1
Unknown country,16-Jul-1971,Lockheed P2V-7 Neptune,4651,Japanese Navy,,unknown,U1
Unknown country,01-Jul-1947,Douglas C-47 (DC-3),TI-107,TAN,,,A1
Unknown country,02-Dec-1943,Douglas C-47A (DC-3),42-24068,USAAF,,unknown,A1
Atlantic Ocean,17-Jan-1955,Lockheed C-121J Super Constellation,131639,US Navy,13,near Stephenville...,A1
Atlantic Ocean,23-Mar-1965,Canadair CP-107 Argus Mk.2,20727,RCAF,16,near Puerto Rico,A1
Pacific Ocean,23-Dec-1957,Lockheed WV-2 Super Constellation,143197,US Navy,19,near Kahuku Point...,A1
Unknown country,24-Mar-1953,Amiot AAC.1 (Ju-52),218,French AF,,,U1
Unknown country,12-Nov-1971,DC-8,,Air Canada,0,,H2
Pacific Ocean,22-Sep-1960,Douglas R5D-3 (DC-4),56541,USMC,29,"near Okinawa, Japan",A1
Antarctica,04-Dec-1971,Lockheed LC-130F Hercules,148321,US Navy,0,D-59 Station,A2
Unknown country,17-Mar-1943,DH.86 Express,HK829,RAF,,Noffution North,A1
Unknown country,30-Apr-1945,Curtiss C-46A,42-60982,USAAF,,,A1
Antarctica,22-Oct-1958,UC-1 Otter (DHC-3),142427,US Navy,0,Ross Ice Shelf,A1
Unknown country,12-Mar-1946,Douglas Dakota III (DC-3),FD823,RAF,,unknown,A1
Unknown country,24-Mar-1945,Curtiss C-46D,44-77473,USAAF,,,A1
Pacific Ocean,13-Dec-1942,Consolidated PBY-5A Catalina,2966,US Navy,0,near Australia,A1
Unknown country,03-Jun-1942,Consolidated PBY-5A Catalina,46507,US Navy,,,A1
Pacific Ocean,24-Jul-1944,Consolidated PBY-5 Catalina,8137,US Navy,5,South Pacific,A1
Atlantic Ocean,03-Apr-1945,PBV-1A Canso A (PBY-5A),11066,RCAF,,near Iceland,A1
Unknown country,10-Oct-1963,Douglas C-47A (DC-3),42-92885,USAF,,unknown,A1
Unknown country,23-Aug-1966,Douglas VC-47A (DC-3),42-93514,USAF,,unknown,A1
Atlantic Ocean,14-Aug-1958,Lockheed L-1049H-01-06-162 Super Co,PH-LKM,KLM,99,"near Shannon, Ire...",A1
Unknown country,26-Jun-1969,CASA 352 (Ju-52),T.2B-191,Spanish AF,,,U1
Unknown country,29-Sep-1944,Curtiss C-46A,42-3612,USAAF,,,U1
Unknown country,15-Jul-1943,Douglas C-47 (DC-3),41-18534,USAAF,,unknown,A1
Unknown country,26-Apr-1945,Douglas C-47A (DC-3),42-100575,USAAF,,Unknown,A1
Unknown country,14-Mar-1945,Curtiss C-46D,44-77367,USAAF,,,A1
Unknown country,12-Jan-1953,CASA 352 (Ju-52),T.2-227,Spanish AF,,,U1
Unknown country,06-May-1967,Douglas C-47 (DC-3),HJ244,Indian AF,,,U1
Atlantic Ocean,15-Dec-2008,BN-2A Trislander Mk.III-2,N650LP,Línea Aérea Puertorriqueña,12,Caribbean Se...,A1
Unknown country,03-Dec-1943,Douglas C-47A (DC-3),42-23611,USAAF,,unknown,A1
Unknown country,16-Aug-1956,Douglas C-47A (DC-3),43-15593,USAF,,unknown,A1
Unknown country,06-Apr-1961,CASA 352 (Ju-52),T.2B-155,Spanish AF,,,U1
Pacific Ocean,11-Jan-1938,Sikorsky S-42B,NC16734,Pan Am,7,"near Pago Pago, A...",A1
Mediterranean Sea,29-Jan-1972,Grumman C-2A Greyhound,155122,US Navy,2,Mediterranea...,A1
Unknown country,22-Jun-1949,Douglas C-47B (DC-3),348283,French AF,,unknown,A1
Unknown country,12-Jul-1942,Douglas C-53-DO (DC-3),42-6455,"USAAF, op.for Pan Am",,unknown,U1
Atlantic Ocean,21-Jan-1939,Short S.23 Empire Flying Boat Mk II,G-ADUU,Imperial Airways,3,near Port Washing...,A1
Atlantic Ocean,26-Sep-1955,Lockheed P2V-3W Neptune,131442,US Navy,11,near Jamaica [Car...,A1
Unknown country,19-Aug-1943,Curtiss C-46A,41-12430,USAAF,0,,A1
Unknown country,16-Feb-1964,Fairchild C-123 Provider,,USAF,,,C1
Unknown country,??-???-1970,Douglas DC-4,N91069,Mideastern Airways,,,U1
Unknown country,26-Jul-1944,Douglas C-47A (DC-3),43-15607,USAAF,,unknown,A1
Unknown country,07-Jan-1945,Curtiss C-46D,42-101162,USAAF,,,U1
Unknown country,17-Feb-1944,Consolidated PBY-5 Catalina,2380,US Navy,,,A1
Atlantic Ocean,17-Sep-1944,Douglas C-47A (DC-3),42-100517,USAAF,0,"near Westkapelle,...",A1
Unknown country,26-Nov-1944,Douglas C-47A (DC-3),42-93521,USAAF,,unknown,A1
Unknown country,09-Feb-1945,Curtiss C-46A,42-60975,USAAF,,,U1
Atlantic Ocean,19-May-1980,Learjet 25D,N125NE,Northeast Jet,2,"near Sarasota, FL...",A1
Pacific Ocean,18-May-1944,Douglas R4D-5 (DC-3),39073,US Navy,23,between Toro...,A1
Atlantic Ocean,21-Jul-1944,Douglas C-47A (DC-3),42-92115,USAAF,5,"near Cape Fear, N...",A1
Unknown country,10-May-1943,Consolidated PBY-5 Catalina,8326,US Navy,,,A1
Pacific Ocean,25-Apr-1944,Consolidated PBY-5 Catalina,8283,US Navy,0,,A1
Unknown country,03-Mar-1963,Douglas C-47D (DC-3),43-49238,USAF,,,A1
Pacific Ocean,11-Aug-1982,Boeing 747-121,N754PA,Pan Am,1,near Hawaii,C2
Antarctica,15-Nov-2010,CASA C-212 Aviocar 400,VH-VHB,Skytraders,0,Bunger Hills,A2
Antarctica,20-Dec-2012,Basler Turbo 67 (DC-3T),C-GEAI,"Kenn Borek Air, op.for ALCI Aviation",0,Holtanna Gla...,A2
Unknown country,10-Nov-1969,Douglas C-47D (DC-3),43-49019,USAF,,,A1
Unknown country,??-OCT-1945,Douglas DC-2-115D,EC-AAB,Iberia,,,A1
Mediterranean Sea,09-Jul-1943,Douglas Dakota I (DC-3),FD774,RAF,1,"near Chebba, Tunisia",A1
Unknown country,02-Apr-1945,Curtiss C-46A,42-61051,USAAF,,,U1
Antarctica,15-Feb-1971,Lockheed LC-130F Hercules,148318,US Navy,0,McMurdo-Will...,A1
Atlantic Ocean,05-Jun-1950,Curtiss C-46F,N1248N,Westair Transport,28,"near Melbourne, F...",A1
Unknown country,18-Aug-1968,Douglas C-54B (DC-4),OB-R-849,Rutas Internacionales,,,U1
Unknown country,06-May-1945,Douglas C-47 (DC-3),41-7748,USAAF,,unknown,U1
Unknown country,06-Jul-1970,Douglas VC-47A (DC-3),T.3-43,Spanish AF,,,U1
Unknown country,10-Sep-1943,Consolidated C-87,41-11908,USAAF,5,,A1
Pacific Ocean,28-Feb-1942,Short S.23 Empire Flying Boat Mk I,G-AETZ,"BOAC, op.for Qantas Empire Airways",22,"near Cilacap, Jav...",C1
Unknown country,22-Apr-1945,Douglas C-47A (DC-3),42-92927,USAAF,,unknown,C1
Atlantic Ocean,04-Sep-1951,Lockheed P2V-3 Neptune,122978,US Navy,7,near Montauk Poin...,A1
Unknown country,02-Sep-1943,Consolidated PBY-5A Catalina,A24-50,RAAF,,,A1
Unknown country,20-Sep-1944,Douglas C-47A (DC-3),42-32927,USAAF,0,unknown,A1
Unknown country,07-Jan-1967,Douglas C-47 (DC-3),FAC-...,Colombian AF,,unknown,U1
Pacific Ocean,05-Apr-1968,Lockheed P-3A Orion,151350,US Navy,8,near Okinawa [Chi...,A1
Pacific Ocean,04-Feb-1944,Douglas C-47 (DC-3),42-24418,USAAF,6,between Tont...,A1
Mediterranean Sea,12-Oct-1967,DH-106 Comet 4,G-ARCO,"BEA, opf Cyprus Airways",66,"near Demre, Turkey",C1
Unknown country,24-Jul-1944,Curtiss C-46A,41-24751,USAAF,,,U1
Unknown country,14-Nov-1978,unknown,,Aeroflot,1,,H2
Pacific Ocean,02-May-1944,Consolidated PBY-5A Catalina,A24-32,RAAF,,Coral Sea,A1
Atlantic Ocean,10-Nov-1943,Short Sunderland III,EK572,RAF,12,near Spanish coast,C1
Unknown country,17-Nov-1961,CASA 352 (Ju-52),T.2B-129,Spanish AF,,,U1
Unknown country,24-Nov-1943,Curtiss C-46A,41-12321,USAAF,,,A1
Unknown country,19-Apr-1943,Douglas C-47 (DC-3),41-18545,USAAF,,between Kunm...,A1
Atlantic Ocean,17-Aug-1942,Short Sunderland I,L2158,RAF,9,near Sierra Leone,A1
Atlantic Ocean,09-Nov-1958,Martin PBM-5 Mariner,CS-THB,ARTOP,36,"near Lisbon, Port...",A1
Pacific Ocean,16-Jun-1944,Consolidated PBY-5 Catalina,8469,US Navy,0,near Espiritu San...,A1
Unknown country,??-???-1998,Lockheed KC-130F Hercules,149807,USMC,0,unknown,A1
Unknown country,??-???-1975,Antonov An-2R,CCCP-09233,"Aeroflot, Uralsk",,,A1
Unknown country,22-Oct-1959,Douglas C-47B (DC-3),476977/FRASB,French AF,,,U1
Atlantic Ocean,17-Jul-1943,Consolidated PBY-5 Catalina,2372,US Navy,8,Gulf of Mexico,A1
Unknown country,12-Jul-1968,Convair CV-880,,Delta Air Lines,0,,H2
Unknown country,24-Apr-1947,Douglas Dakota IV (DC-3),KN320,RAF,,unknown,U1
Pacific Ocean,06-Nov-1943,Consolidated PBY-5A Catalina,34035,US Navy,9,Pacific Ocean,A1
Unknown country,11-Sep-1945,Douglas R4D-5 (DC-3),17115,US Navy,,,A1
Antarctica,22-Dec-1955,UC-1 Otter (DHC-3),142424,US Navy,0,"near Cape Bird, R...",A1
Antarctica,20-Dec-2007,Basler Turbo 67 (DC-3T),C-FMKB,Kenn Borek Air,0,Mt. Patterson,A2
Unknown country,03-Sep-1945,Curtiss C-46D,44-78125,USAAF,,,A1
Atlantic Ocean,01-Aug-1948,Latécoère 631,F-BDRC,Air France,52,"near Dakar, Senegal",A1
Unknown country,21-Jul-1945,Douglas C-47A (DC-3),42-24223,USAAF,,unknown,A1
Atlantic Ocean,11-Jan-1967,Chase YC-122C Avitruc,N122E,Bush Aviation,4,"near Bimini, Bahamas",A1
Atlantic Ocean,09-May-1948,Consolidated PBY-6A Catalina,64015,US Navy,12,Caribbean,A1
Unknown country,07-Sep-1964,Douglas SC-47D (DC-3),T.3-38,Spanish AF,,,U1
Atlantic Ocean,27-Apr-1979,Howard 350,N544B,Triple D Transport Co.,2,"near Guantanamo, ...",A1
Pacific Ocean,28-Jun-1942,Consolidated PBY-5 Catalina,4459,US Navy,,near Dutch Harbor...,A1
Atlantic Ocean,08-Nov-1965,Douglas C-54D (DC-4),N-605,Danish AF,0,near Hesselø [Kat...,A1
Unknown country,20-Jul-1979,BN-2A Islander,N856JA,Sun Air,,,U1
Indian Ocean,22-Jul-2016,Antonov An-32,K2743,Indian AF,29,near Chennai [Bay...,A1
