Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
USA,13-Mar-1986,Embraer EMB-110P1 Bandeirante,N1356P,Simmons Airlines,3,near Alpena Count...,A1
USA,21-Jul-1997,DHC-6 Twin Otter 300,N776BF,Continental Aviation Services,0,"Elko, NV",A2
Kyrgyzstan,24-May-2013,Antonov An-2SX,EX-02015,Valor Air,3,"near Jyl-Kol, Jal...",A1
USA,03-Mar-2020,Learjet 55,N890AC,Jetleg Management,0,Nashville-Jo...,O1
Austria,29-Feb-1964,Bristol 175 Britannia 312,G-AOVO,British Eagle,83,Mt. Glungezer,A1
Cote d'Ivoire,14-Oct-2017,Antonov An-26-100,ER-AVB,Valan Int'l Cargo,4,near Abidjan-Feli...,A1
Tajikistan,28-Aug-1993,Yakovlev Yak-40,87995,Tajikistan Airlines,82,near Khorog,A1
Libya,31-Oct-2007,Antonov An-26,5A-DOZ,Libyan Air Cargo,0,near Tripoli,A1
India,07-Aug-2018,Cessna 208B Grand Caravan,VT-UDN,Supreme Airlines,0,Lalgarh Airport,A2
Canada,26-Sep-2014,Beech A100 King Air,C-FEYT,Air Creebec,0,Timmins Airp...,A1
Italy,17-Dec-1946,Douglas Dakota IV (DC-3),KN662,RAF,0,near Trigno,A1
Kuwait,30-Jun-1966,Hawker Siddeley HS-121 Trident 1E,9K-ACG,Kuwait Airways,0,near Kuwait Inter...,A1
Egypt,05-Dec-1972,Boeing 707-366C,SU-AOW,EgyptAir,6,Beni Suef,A1
Indonesia,01-Feb-2014,Boeing 737-9GPER (WL),PK-LFH,Lion Air,0,Surabaya-Jua...,A2
Japan,28-Jul-1975,Lockheed L-1011 TriStar,,All Nippon,0,Tokyo-Haneda...,H2
Gabon,08-Jun-2004,Hawker Siddeley HS-748,TR-LFW,Gabon Express,19,near Libreville A...,A1
Libya,27-Jul-2014,Ilyushin Il-76M,5A-DZZ,Libyan Air Cargo,0,Tripoli Inte...,C1
Philippines,26-Dec-1947,Douglas DC-3,PI-C10,Philippine Air Lines,,Manila ?,O1
Iceland,05-Nov-1942,Consolidated Catalina IIIA (PBY-5A),FP535,RAF,9,near Reykjavík,A1
India,18-Feb-1969,Douglas C-47A (DC-3),VT-CJH,Indian Airlines,0,Jaipur-Sanga...,A1
Belgium,28-Jul-1937,Douglas DC-2-115L,PH-ALF,KLM,15,near Beert,A1
Italy,15-Oct-1987,ATR 42-312,I-ATRH,ATI,37,Conca di Crezzo,A1
Gabon,12-Oct-2011,Embraer EMB-120ER Brasilia,ZS-PYO,Nationale et Regionale Transport,0,Port Gentil ...,A1
Colombia,30-Jul-1979,Douglas TC-47B (DC-3),FAC-684,Colombian AF,,,U1
Canada,09-Jun-1973,Lockheed L-1049H Super Constellatio,N173W,Aircraft Specialties,3,near Casey Airpor...,A1
Iceland,24-Apr-1941,Short Sunderland I,N9023,RAF,3,"Langhóll, Fa...",A1
