Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
USA,18-Jun-1943,Douglas C-47A (DC-3),42-23784,USAAF,,Sedalia Army...,A1
Costa Rica,12-Dec-1971,BAC One-Eleven 412EB,AN-BBI,LANICA,1,San José,H2
USA,15-Dec-1965,Fairchild C-123J Provider,54-647,Air National Guard,5,near Cape Romanzo...,A1
Ukraine,28-May-1968,Antonov An-2R,CCCP-45209,"Aeroflot, Ukraine",2,"near Slobodovka, ...",A1
Russia,23-Jun-1969,Ilyushin Il-14M,CCCP-52018,"Aeroflot, Ukraine",24,near Poroslitsy v...,A1
USA,02-Jun-1933,Ford 4-AT-E Tri-Motor,NR9614,Plane Speaker Corporation,0,Hempstead-Ro...,O1
Thailand,21-Nov-1972,Douglas EC-47Q (DC-3),43-49771,USAF,2,near Nakhon Phano...,A1
Romania,22-Jul-1938,Lockheed 14-H Super Electra,SP-BNG,LOT,14,"Negrileasa, ...",A1
Hungary,06-Dec-1986,Antonov An-26,210,Hungarian AF,4,near Veszprém-Sze...,A1
France,05-Mar-1945,Douglas C-47A (DC-3),42-108890,USAAF,,near Poix,A1
Netherlands,09-May-1970,Douglas DC-3C,OO-AUX,"DAT, op.for Sabena",0,Amsterdam-Sc...,A1
Indonesia,14-Nov-1944,Douglas C-47A (DC-3),43-15432,USAAF,,Owi Island,U1
Italy,16-Mar-1940,Savoia-Marchetti S.73,I-SUTO,ALI,14,Stromboli Is...,A1
Lebanon,21-Aug-1985,Boeing 720-023B,OD-AFL,MEA,0,Beirut Inter...,C1
Brazil,21-Oct-2016,Airbus A300B4-203 (F),PR-STN,Sterna Linhas Aéreas,0,Recife-Guara...,A1
USA,20-Jul-1988,Douglas C-118A (DC-6),N33VX,TACA,3,Golden Meado...,A1
Uruguay,06-Jun-2012,Swearingen SA227-AC Metro III,CX-LAS,Air Class Líneas Aéreas,2,near Isla de Flor...,A1
Russia,23-Jul-1987,Tupolev Tu-134A-3,CCCP-65874,"Aeroflot, Ukraine",,Ivanovo Airp...,A1
Greece,04-Apr-1985,Boeing 727-2D3,,Royal Jordanian,0,Athens-Ellin...,C2
Brazil,16-Jul-2018,Boeing 737-8EH (WL),PR-GGD,Gol,0,Belo Horizon...,A2
China,21-Jan-1976,Antonov An-24RV,B-492,CAAC,40,near Changsha-Hua...,A1
Algeria,27-Sep-1942,Dewoitine D.342,F-ARIZ,Air France,25,Ameur-el-Aïn,A1
Russia,28-Jan-1990,Antonov An-2,03 Yellow,DOSAAF,3,"Okha, Sakhal...",A1
Lebanon,05-Jun-1967,Douglas DC-7,JY-ACP,Alia,,Beirut ?,C1
Israel,29-Apr-1964,Nord 2501D Noratlas,4X-FAD/044,Israeli AF,9,Mitzpe Ramon,A1
Russia,??-???-1976,Yakovlev Yak-40,CCCP-87563,"Aeroflot, East Siberia",0,unknown,A1
Afghanistan,10-Dec-2016,Boeing 737-46J,JY-JAQ,"Jordan Aviation, op.for Safi Airways",0,Kabul-Hamid ...,A1
Colombia,19-Jul-1977,Douglas C-47A (DC-3),HK-166,L.A. Orientales,0,near Mitú Airport...,A1
Russia,22-Jul-1988,Antonov An-2,,Aeroflot,0,,A2
Philippines,24-Oct-1968,Lockheed P-2H Neptune,135555,US Navy,,Sangley Poin...,U1
USA,23-Feb-1975,Rockwell Sabreliner 75A,N5107,General Motors,1,"near Pontiac, MI",A1
Italy,??-DEC-1940,Fiat G.18,I-ETRA,Nucleo Comunicazioni Avio Linee,0,,A1
India,15-May-1954,Douglas C-47B (DC-3),VT-DGO,Jamair,0,Saugaon,A1
Romania,??-AUG-1944,Douglas DC-2-115F,YR-GAD,LARES,0,Boteni,C1
France,25-Dec-1944,Douglas C-47A (DC-3),43-15660,USAAF,4,near Châteaudun-A...,A1
USA,30-Jul-1942,Consolidated PBY-5A Catalina,7291,US Navy,,Dutch Harbor...,A1
Argentina,20-Mar-1985,Morane Saulnier (FMA) MS.760A Paris,E-240,Argentine AF,3,"Lago Ullum, SJ",A1
Ukraine,23-Apr-2012,Antonov An-2R,UR-81515,Proskuriv Avia,0,"near Knyazhichi, ...",A1
USA,18-Jan-1990,Learjet 23,N331DP,Aeroflite Services,2,"Ansonia, OH",A1
Canada,03-Oct-1959,Vickers 757 Viscount,CF-TGY,TCAL,0,near Toronto-Malt...,A1
India,22-Dec-1952,Douglas C-47 (DC-3),,Indian AF,3,"near Kamar, Uttar...",A1
Paraguay,??-???-1984,Douglas C-47D (DC-3),2019,Paraguay AF,,Concepción A...,U1
USA,20-Feb-1956,Vickers 744 Viscount,N7404,Capital Airlines,0,Chicago-Midw...,A1
Myanmar,19-Mar-1957,Douglas C-47B (DC-3),XY-ADB,Union of Burma Airways,0,Loikaw Airpo...,A1
USA,19-Aug-2020,Boeing 767-3S2FER,N146FE,FedEx,0,Los Angeles ...,A2
Canada,20-Jan-1998,BAe 3112 Jetstream 31,C-FBIE,Alberta Citylink,0,Lloydminster...,A1
Colombia,22-Jan-1947,Douglas C-53B (DC-3),C-108,Avianca,17,near Puerto Araujo,A1
Lebanon,09-Jan-1968,Boeing 720-060B,ET-AAG,"Ethiopian Airlines, op.for MEA",0,Beirut Inter...,A1
Egypt,13-Oct-1981,Boeing 737-2K2C,PH-TVC,Air Malta,0,Cairo Intern...,C2
Angola,12-Nov-1999,Antonov An-12B,D2-FRK,Unknown,0,Lukapa Airpo...,A1
Afghanistan,08-Jan-1985,DHC-6 Twin Otter 300,YA-GAY,Bakhtar Afghan,0,Bamyan,A1
USA,22-Oct-1962,Douglas DC-7CF,N285,Northwest Orient Airlines,0,near Biorka Islan...,A1
Argentina,07-May-1981,BAC One-Eleven 529FR,LV-LOX,Austral Lineas Aéreas,31,near Buenos Aires...,A1
United Kingdom,18-Sep-1999,Shorts 330-200,G-SSWU,Streamline Aviation,0,London-Luton...,O1
USA,27-May-1948,Douglas C-47B (DC-3),43-48939,USAF,7,near Banton Rouge...,A1
Guatemala,29-Oct-2020,Gulfstream American G-1159A Gulfstr,N461AR ?,private,3,Laguna del T...,A1
Honduras,22-Mar-2019,Rockwell Sabreliner 60,N990PA,private,0,near Bajamar,A1
China,09-May-1945,Curtiss C-46A,42-60965,USAAF,,near Mitu,A1
Brazil,24-Sep-2018,Honda HA-420 HondaJet,PR-TLZ,ALTA,0,Foz do Iguaç...,A1
Puerto Rico,22-May-1997,Convair T-29B (CV-240),N355T,Dodita Air Cargo,0,near Luquillo,A1
Botswana,11-Oct-1999,ATR 42-320,A2-ABB,Air Botswana,1,Gaborone-Sir...,C1
USA,05-Jul-2013,Rockwell Sabreliner 65,XB-RSC,Eseasa Contrucciones,0,Las Vegas-Mc...,A2
Papua New Guinea,26-Apr-1943,Consolidated PBY-5A Catalina,A24-43,RAAF,3,near Aita,C1
Russia,17-Nov-1951,Ilyushin Il-12P,CCCP-L1775,"Aeroflot, Moscow",23,near Novosibirsk-...,A1
Bolivia,01-Jan-1985,Boeing 727-225,N819EA,Eastern Air Lines,29,Nevado Illimani,A1
Russia,07-Dec-1944,Lisunov Li-2,CCCP-L4161,Aeroflot,16,"near Orlovka, Tep...",A1
USA,02-Aug-1943,Douglas C-47A (DC-3),42-23957,USAAF,5,"near Rock Falls, IA",A1
Malaysia,29-Nov-1980,DHC-4A Caribou,M21-12,Royal Malaysian AF,,Simanggang,A1
Philippines,11-Mar-1945,Douglas C-47A (DC-3),43-47996,USAAF,0,Angeles City...,C1
USA,19-Oct-1942,Douglas C-53B Skytrooper (DC-3),41-20047,USAAF,,Fort Randall...,A1
Brazil,23-Nov-1961,DH-106 Comet 4,LV-AHR,Aerolineas Argentinas,52,near São Paulo/Ca...,A1
USA,17-Sep-1958,Douglas C-124A Globemaster II,51-165,USAF,1,Oklahoma Cit...,A1
Mexico,05-Feb-2009,Learjet 35A,XB-RYT,Rajet Aeroservicios,0,Ciudad Victo...,A2
United Kingdom,29-Mar-1981,Potez 840,F-BMCY,Club Aéronautique de Paris,0,Sumburgh Air...,A1
USA,09-Jan-1997,Embraer EMB-120RT Brasilia,N265CA,"Delta Connection, opb Comair",29,"near Monroe, MI",A1
Russia,09-Nov-1991,Tupolev Tu-154,,Aeroflot,0,Grozny Airpo...,H2
Singapore,26-Mar-1950,Short S.25 Sunderland GR.5,SZ573,RAF,2,Singapore-Se...,O1
USA,02-Feb-2012,Learjet 35,N31WS,Extrapoint LLC,0,Pueblo Memor...,A1
USA,19-Dec-1980,Rockwell 1121 Jet Commander,N29LB,Langham Petroleum,3,"Many, LA",A1
Peru,28-Mar-1992,Douglas DC-8-33AF,OB-1456,Export Air,0,Iquitos Airp...,A1
China,02-Sep-1944,Curtiss C-46A,42-96548,USAAF,,Yunnanyi,A1
Nepal,24-Sep-2016,BAe 4101 Jetstream 41,9N-AIB,Yeti Airlines,0,Bhairawa Air...,A1
USA,24-Mar-1987,Convair CV-580,N73107,"American Eagle, opb Metroflight",0,Dallas/Fort ...,A2
USA,22-Sep-1995,Boeing E-3A Sentry (707-300B),77-0354,USAF,24,near Anchorage-El...,A1
Mexico,05-May-2011,BAe-125-700A,N829SE,JODA,0,Loreto Airpo...,A1
Congo (former Zaire),25-Apr-2003,Antonov An-26,,Unknown,0,Beni Airport...,A2
Cuba,26-May-1969,Boeing 727,,Northeast Airlines,0,Havana-José ...,H2
USA,01-Feb-1991,Boeing 737-3B7,N388US,USAir,22,Los Angeles ...,A1
Germany,31-Jan-1945,Junkers Ju-52/3m,G6-QV,German AF,12,eastern Germany,A1
Taiwan,22-May-2000,MD-11,,Eva Air,0,Taipei-Chian...,A2
Mauritania,date unk.,BN-2A-21 Islander,5T-MAV,Mauritanian AF,,,U1
Mexico,??-MAY-1988,Grumman G-159 Gulfstream I,XB-CIJ,Celanese Mexicana,0,within Yucatan,A1
USA,08-Feb-1944,Douglas C-47A (DC-3),42-100873,USAAF,5,"near Linton, TN",A1
Namibia,30-Nov-2013,Antonov An-26B,NAF-3-642,Namibian Air Force,0,Omega Airpor...,A1
Vietnam,26-Apr-1968,Lockheed C-130B Hercules,60-0298,USAF,8,near Hue,C1
Saudi Arabia,11-Jun-1967,Douglas C-47B (DC-3),HZ-AAJ,Saudi Arabian,0,Jeddah,A1
Laos,16-Jun-1953,Douglas C-47A (DC-3),F-BEST,Aigle Azur,34,Phou-Lassi Hill,A1
United Kingdom,15-Jun-2006,Boeing 737-301 (BDSF),OO-TND,TNT Airways,0,East Midland...,A1
Morocco,18-Aug-1944,Curtiss C-46A,42-96530,USAAF,,Casablanca-C...,A1
Nepal,07-Jul-1999,Boeing 727-243F,VT-LCI,Hinduja,5,near Kathmandu-Tr...,A1
Senegal,18-Aug-2020,ATR 72-600 (72-212A),6V-ASN,Air Senegal,0,Ziguinchor A...,A2
Russia,25-Jun-1969,Antonov An-12TB,CCCP-11380,"Aeroflot, East Siberia",0,Mirny Airpor...,A1
USA,18-Jan-1982,Convair HC-131A (CV-240),5786,US Coast Guard,0,Corpus Chris...,A1
Colombia,07-Feb-2008,CASA C-212-M Aviocar 300,FAC-1258,Colombian AF,0,Nuquí-Reyes ...,A2
Germany,20-Feb-1947,Douglas C-47B (DC-3),349048,French AF,4,Offenbach,A1
Bolivia,16-Apr-2006,Fokker F-27 Friendship 400M,FAB-91,TAM,1,Guayaramerín...,A1
Argentina,11-Feb-1981,Morane Saulnier (FMA) MS.760A Paris,E-218,Argentine AF,2,"near Mendoza, MD",A1
United Arab Emirates,24-Aug-1984,Boeing 737-2A8,VT-EFK,Indian Airlines,0,Dubai Airpor...,H2
Canada,20-Dec-1969,Fairchild F-27J,CF-GNG,Great Northern Airways,0,Inuvik Airpo...,A1
Mexico,04-Jan-1988,DC-9,,Aeroméxico,0,Monterrey,H2
USA,04-Jan-1974,Sabreliner 40,N34W,Midwest Oil,2,"Midland, TX",A1
Nepal,19-Apr-2010,DHC-6 Twin Otter 300,9N-ABX,Nepal Airlines,0,Kangel Danda...,A2
Uganda,09-Mar-2009,Ilyushin Il-76T,S9-SAB,Aerolift,11,near Entebbe Airp...,A1
Costa Rica,19-Apr-1984,Douglas C-47 (DC-3),TI-SAA,SANSA,4,Cerro Alto S...,A1
China,03-Jun-2009,MD-11F,B-2175,China Cargo Airlines,0,Urumqi Airpo...,A2
Russia,07-Dec-1976,Yakovlev Yak-40,CCCP-87756,"Aeroflot, Ukraine",0,near Armavir Air ...,A1
Iraq,15-Feb-1991,Airbus A300C4-620,9K-AHF,Kuwait Airways,0,Mosul Airpor...,C1
Ukraine,02-Sep-1970,Tupolev Tu-124,CCCP-45012,"Aeroflot, Lithuania",37,near Dnepropetrovsk,A1
Cuba,10-Apr-1959,Douglas DC-3,,COHATA,1,Santiago Air...,H2
USA,23-Apr-2019,Cessna 208 Caravan I,N366TA,Tropic Ocean Airways,0,Dry Tortugas...,A1
USA,05-Dec-1987,Boeing 737-2B7,N319AU,USAir,0,"Deptford, NJ",A2
USA,17-Jun-2002,Lockheed C-130A Hercules,N130HP,Hawkins & Powers,3,"Walker, CA",A1
France,26-Aug-1944,Douglas C-47A (DC-3),42-100574,USAAF,,near Cherbourg,A1
Netherlands,10-May-1940,Junkers Ju-52/3m,,German AF,,Delft,A1
Somalia,14-Jul-2020,DHC-8-402Q (PF) Dash 8,5Y-VVU,Blue Bird Aviation,0,Beledweyne-U...,A1
Eritrea,12-Mar-1970,Douglas DC-6B,ET-AAY,Ethiopian Airlines,0,Asmara Inter...,A1
United Kingdom,15-Nov-1957,Shorts S.45 Solent 3,G-AKNU,Aquila Airways,45,Chessel Down,A1
Mexico,16-Aug-1949,Ford 5-AT-C Tri-Motor,XA-GIJ,LAGOSA,0,Putla,A1
Algeria,15-Jan-1943,Douglas C-47 (DC-3),,USAAF,,Biskra Airpo...,C1
Liberia,05-Feb-1991,Antonov An-12,,Air Guinée,0,Monrovia,A1
Vietnam,22-Jul-1948,Douglas C-47B (DC-3),348281,French AF,5,near Hoa Binh,A1
Poland,06-Nov-1934,Junkers Ju-52/3mge,D-AVAN,Deutsche Reichsbahn-Gesellschaft,5,Gross-Rackit...,A1
Russia,15-Sep-2002,Ilyushin Il-18V,RA-75423,IRS Aero,0,Moskva-Bykov...,A2
Bolivia,17-Sep-1972,Douglas C-47A (DC-3),CP-565,Aerolineas Abaroa,0,La Paz,A1
China,26-Nov-1943,Consolidated C-87,41-11800,USAAF,2,within China,A1
USA,30-Oct-1996,Gulfstream G-IV,N23AC,Alberto-Culver,4,Chicago-Exec...,A1
China,27-Jun-1945,Curtiss C-46A,42-96608,USAAF,,near Pao-Shan,A1
USA,08-Aug-2019,Airbus A321-211 (WL),N717FR,Frontier Airlines,0,Orlando Inte...,A2
Puerto Rico,09-May-2004,ATR 72-212,N438AT,"American Eagle Airlines, opb Executive Airlines",0,San Juan-Lui...,A1
Taiwan,17-Sep-1994,Learjet 35A,B-98181,Golden Eagle Aviation,4,near Taitung,C1
USA,04-Mar-1977,Boeing KC-135A,62-3522,USAF,0,Rome-Griffis...,O1
Russia,04-Feb-1959,Lisunov Li-2,CCCP-16192,"Aeroflot, Magadan",0,near Severo-Evens...,A1
Sri Lanka,12-Dec-2014,Antonov An-32B,SCM-864,Sri Lanka AF,5,Hokandara,A1
USA,05-Apr-2003,Saab 340B,N243AE,American Eagle Airlines,0,Dallas/Fort ...,O1
Brazil,26-Oct-1966,Lockheed C-130E Hercules,2452,Brazilian AF,0,Santa Maria ...,A1
Sweden,22-Jan-1949,Douglas C-47A (DC-3),SE-BBN,SAS,,Luleå-Kallax...,A1
USA,02-Jun-1962,U-1A Otter (DHC-3),,US Army,1,California,A1
Russia,27-Jun-2008,Antonov An-2,RA-01132,Avialesookhrana,5,near Gryzlov,A1
Japan,17-May-1978,Shin Meiwa PS-1,5812,Japanese Navy,13,Takaoka,A1
Papua New Guinea,08-Mar-1943,Consolidated PBY-5A Catalina,A24-22,RAAF,9,near Gasmata,A1
South Korea,09-Jul-1951,Douglas C-47D (DC-3),44-76651,USAF,,Pohang (K-3)...,A1
Bolivia,01-Jan-1951,Douglas C-47A (DC-3),CB-31,LAB,,La Paz-El Al...,A1
Pakistan,13-Jan-1998,Antonov An-32,,Afghan AF,51,Khojak Pass,A1
Singapore,29-Nov-2017,Boeing 777-212ER,9V-SQK,Singapore Airlines,0,Singapore-Ch...,O1
Ecuador,??-???-1948,Ford 4-AT Tri-Motor,HC-SBQ,Shell Ecuador,,,U1
Philippines,22-Dec-1944,Douglas C-47A (DC-3),42-92797,USAAF,0,Tacloban Air...,O1
France,27-Aug-1944,Douglas C-47A (DC-3),42-100630,USAAF,,Colleville-s...,A1
United Kingdom,14-Oct-1964,Douglas C-47A (DC-3),G-AGJV,BMA,0,Derby Airport,A2
India,12-May-1945,Consolidated C-109,42-51411,USAAF,,near Jorhat (JRH),A1
Indonesia,29-Apr-1983,BN-2A-21 Islander,PK-OBE,Airfast Indonesia,0,Landikma,A1
USA,04-Apr-1997,ATL-98 Carvair,N83FA,Custom Air Service,2,Griffin-Spal...,A1
Greece,03-Mar-1944,Junkers Ju-52/3m,,German AF,3,Aegean Sea,C1
Laos,27-Feb-1968,Lockheed OP-2E Neptune,131484,US Navy,2,within Laos,C1
Morocco,22-Jan-1945,Curtiss C-46D,44-77570,USAAF,,Port Lyautey...,A1
China,19-Dec-1985,Antonov An-24,,Aeroflot,0,"near Gannan, Heil...",H2
South Africa,02-Oct-1986,Dassault Falcon 10,3D-ART,Rembrandt Tobacco,4,Magoebaskloof,A1
Australia,03-Mar-1942,Consolidated PBY-5 Catalina,Y-59,Dutch Navy,,"Broome, WA",C1
Czech Republic,23-Feb-1945,Junkers Ju-52/3m,VB+UO,German AF,23,Slunecní jám...,A1
Mexico,20-May-1969,Lockheed 18 Lodestar,XA-SAC,Aero Cargo,,Bahia de Tod...,A1
Australia,10-Aug-1944,Douglas C-47A (DC-3),43-15473,USAAF,0,Newcastle/Di...,A1
Japan,13-Feb-1953,Grumman SA-16A Albatross,51-062,USAF,8,"near Moji, Honshu...",A1
France,01-Nov-1944,Douglas C-47A (DC-3),42-92700,USAAF,20,near Saint-Chamond,A1
Egypt,02-Feb-1966,Antonov An-24V,SU-AOB,UAA,,Luxor,A1
Ukraine,01-Apr-1945,Lisunov Li-2,CCCP-L4038,Aeroflot,0,near Turovets,A1
Colombia,??-???-1980,Convair CV-440-38,N102US,Farm-Kem Inc,,,A1
Italy,10-Jan-1954,DH-106 Comet 1,G-ALYP,BOAC,35,near Elba,A1
Netherlands,17-Sep-1944,Douglas C-47A (DC-3),42-24066,USAAF,,Son,A1
Vietnam,10-May-1966,CV-2B Caribou (DHC-4),62-4165,US Army,2,Cai Cai Camp...,A1
Papua New Guinea,05-Jan-2004,DHC-6 Twin Otter 300,P2-KSG,Regional Air,0,Sturt Island,A2
USA,16-Oct-2005,Beech 1900D,N144ZV,"Air Midwest, op.for US Airways Express",0,Ogdensburg A...,A2
Italy,09-Aug-1963,Douglas C-117D (DC-3),,US Navy,0,near Amalfi,A1
United Kingdom,06-Jul-1965,Handley Page Hastings C.1A,TG577,RAF,41,Little Baldon,A1
Malaysia,23-Feb-1954,Vickers Valetta C.1,WD160,RAF,4,near Gemas,A1
USA,04-Nov-1946,Fairchild C-82A Packet,44-23020,USAAF,0,Austin-Bergs...,A1
Colombia,09-Jun-1950,Douglas DC-3-178,N16030,New Tribes Mission,15,near Fonseca,A1
Netherlands,17-Sep-1944,Douglas C-47A (DC-3),42-100676,USAAF,,Luyksgestel,A1
Colombia,09-Jan-1978,BN-2A Trislander Mk.III-1,HK-1711,TAVINA,0,Ciénaga Gran...,A1
USA,02-Sep-1997,Boeing EC-135C,63-8053,USAF,0,Fayetteville...,A1
Guyana,10-Dec-2007,Let L-410,,Unknown,0,Corentyne,O1
Cuba,09-Oct-1971,Boeing 727,,Eastern Air Lines,0,,H2
USA,25-Mar-1958,Douglas DC-7C,N5904,Braniff Airways,9,near Miami Intern...,A1
USA,26-Dec-1951,Douglas VC-47A (DC-3),43-48142,USAF,8,"near Redding, CA",A1
USA,19-Nov-2013,Learjet 35A,XA-USD,Aero J.L.,4,near Fort Lauderd...,A1
USA,02-Mar-1969,Howard Super Ventura,N3403,National Steel Corp.,0,Gaylord-Otse...,A1
Canada,07-Feb-1968,Boeing 707-138B,N791SA,"Canadian Pacific, lsf Standard Airways",1+ 1,Vancouver In...,A1
USA,27-Sep-1943,Douglas C-47 (DC-3),41-18566,USAAF,4,near Fort Benning...,A1
USA,26-Apr-2001,Cessna 208B Super Cargomaster,N974FE,"FedEx, opb Wiggins Airways",0,near Plattsburgh ...,A1
Indonesia,11-Apr-1955,Lockheed L-749A Constellation,VT-DEP,Air-India,16,near Great Natuna...,C1
Nigeria,11-Jun-2015,Hawker 800XP,N497AG,Swat Technology,0,Port Harcour...,A1
Kenya,29-Dec-2000,Boeing 747-436,G-BNLM,British Airways,0,Nairobi-Jomo...,H2
USA,15-Apr-2003,Swearingen SA226-TC Metro II,N229AM,Superior Aviation,0,Denver Inter...,A1
Germany,11-Oct-1977,Yakovlev Yak-40,,CSA,0,Frankfurt,H2
Bangladesh,09-May-1945,Douglas Dakota IV (DC-3),KN233,RAF,,Cox's Bazar ...,A1
USA,25-Jun-2013,Beech 200 Super King Air,N92JR,Tennair,0,near Chicago-Exec...,A1
China,26-Jan-1946,Douglas C-47A (DC-3),CA5,Central Air Transport,,near Wuhan,A1
Pakistan,25-Sep-1952,Bristol 170 Freighter 21P,G799,Pakistan AF,2,near Lahore,A1
Russia,26-Jun-1943,Lisunov Li-2,,Soviet AF,5,near Olsufyevo,A1
France,01-Jan-1969,Lockheed C-130E Hercules,454,Saudi AF,0,Paris-Le Bou...,A1
USA,10-Aug-2012,Bombardier DHC-8-402Q Dash 8,N341NG,"United Express, opb Colgan Air",0,Washington-D...,A2
Thailand,09-Aug-1983,Douglas AC-47,L2-30/07,Thai AF,5+ 4,near Ubon Ratchat...,A1
China,06-Jan-1945,Curtiss C-46A,42-61046,USAAF,,near Yunnanyi,A1
Myanmar,29-Mar-1945,Douglas Dakota IV (DC-3),KK195,RAF,,Alon Airstrip,A1
Russia,15-Dec-1987,Antonov An-2R,CCCP-06324,"Aeroflot, North Kavkaz",,Pyatigorsk,A1
Germany,31-Aug-1939,Junkers Ju-52/3m,,German AF,4,Hunding/Zueding,A1
Japan,04-Feb-1966,Boeing 727-81,JA8302,All Nippon,133,near Tokyo-Haneda...,A1
Canada,10-Dec-1957,Douglas C-47A (DC-3),CF-GKV,Northern Wings,3,Jeannine Lak...,A1
USA,06-Sep-1995,Boeing 737-4Q8,N405KW,Carnival Air Lines,0,Miami Intern...,A2
USA,28-Jul-1987,Douglas C-53-DO (DC-3),N39DT,La Mesa Leasing,0,Laredo Inter...,A1
Italy,09-Feb-2021,Airbus A319-111,HB-JOH,Chair Airlines,0,Napoli-Capod...,O1
USA,28-Aug-1961,Lockheed P2V-7 Neptune,140965,US Navy,,Norfolk NAS ...,A1
USA,21-Dec-2001,Lockheed C-141C Starlifter,61-2778,Air National Guard,0,Memphis Inte...,O1
India,01-Apr-1966,Vickers 779D Viscount,VT-DOD,Indian Airlines,0,Guwahati-Bor...,A2
Philippines,12-Dec-2003,BN-2A-21 Islander,RP-C868,Chemtrad Aviation,3,Barangay Din...,A1
USA,24-Jun-2006,Cessna 560 Citation Encore,N486SB,Aero Charter Services,1,Upland-Cable...,A1
Canada,21-Aug-1992,DHC-3 Otter,C-FBSF,Air Saguenay,0,near Scheffervill...,A2
Guatemala,06-Apr-1993,Boeing 767-2S1ER,N767TA,TACA,0,Guatemala Ci...,A1
Germany,27-Jun-1975,BN-2 Islander,D-IJAN,Kurfiss Aviation,,Emden Airpor...,A1
Algeria,18-Jun-1956,Douglas C-47B (DC-3),76976,French AF,,near Jijel,A1
Israel,31-Jul-1980,Boeing 707-358C,4X-ATX,El Al,0,Tel Aviv-Ben...,O2
Ukraine,01-Jul-1942,Lisunov PS-84,CCCP-L3997,Aeroflot,0,Sevastopol-K...,A1
Serbia,??-FEB-1975,Antonov An-2R,YU-BHW,Privredna Avijacija Osijek,,Knezevac,A1
USA,20-May-1961,Lockheed P2V Neptune,,US Navy,1,near St. Augustin...,A1
French Polynesia,30-Jan-2011,Gulfstream G-IV,N127DK,Prime Aviation,0,Papeete-Faaa...,A1
Italy,28-May-1977,Yakovlev Yak-40EC,I-JAKE,Avioligure,0,Genoa-Cristo...,A1
Italy,04-Jun-1948,Douglas C-47 (DC-3),,JUSTA,0,Bari,H2
Italy,08-Oct-2001,DC-9-87 (MD-87),SE-DMA,SAS,110+ 4,Milano-Linat...,A1
USA,30-Mar-1978,Learjet 23,N133W,National Jets,0,Hollywood-Bu...,A1
India,30-Jul-1998,HAL/Dornier 228-201,VT-EJW,Alliance Air,6+ 3,Cochin Airpo...,A1
USA,02-Jun-2014,Swearingen SA226-AT Merlin IV,N120SC,McNeely Charter Service,0,Dayton-Mark ...,A2
Pakistan,23-May-1946,Avro 685 York C.1,MW191,RAF,0,Karachi-Maur...,A1
Russia,09-Jan-1952,Lisunov Li-2,CCCP-L4315,"Aeroflot, Azerbaijan",3,near Stalingrad A...,A1
Myanmar,24-Jul-1945,Curtiss C-46D,42-101199,USAAF,0,near Lashio,A1
Congo (former Zaire),20-Apr-1990,Lockheed C-130H Hercules,9T-TCG,Zaire AF,20,near Kinshasa,A1
Russia,10-Aug-1941,Lisunov PS-84,CCCP-L3426,"Aeroflot, Northern",0,near Voymark,C1
Thailand,13-Dec-1967,Douglas AC-47,L2-20/00,Thai AF,,Nakhon Phano...,A1
USA,02-Apr-2022,Learjet 75,N877W,Georgia Crown Distributing Co.,0,Morristown M...,A1
China,12-Mar-1943,Consolidated C-87,41-23694,USAAF,0,near Kunming-Wuji...,A1
USA,09-Apr-1952,Douglas VC-47A (DC-3),42-93809,USAF,10,near Camp Edwards...,A1
Nigeria,07-Oct-1967,Fokker F-27 Friendship 200,5N-AAV,Biafran AF,8,near Lagos,C1
Uruguay,17-Jun-1973,Convair CV-240-0,CX-BHS,ARCO,0,Colonia Airp...,A1
Russia,30-Dec-1971,Antonov An-2,CCCP-98348,"Aeroflot, Krasnoyarsk",0,near Baikit,A1
Gabon,17-May-2000,Beech 1900C-1,TR-LFK,Avirex,3,near Moanda Airpo...,A1
Taiwan,07-Jun-1994,Boeing 737,,China Southern,0,Taipei,H2
Colombia,27-Aug-1973,Lockheed L-188A Electra,HK-777,Aerocondor de Colombia,42,near Bogotá-Eldor...,A1
France,27-Aug-1944,Douglas C-47A (DC-3),43-15655,USAAF,4,Colleville-s...,A1
USA,01-Dec-1944,Lockheed C-60A-1-LO Lodestar,42-32197,USAAF,9,"near Keene, CA",A1
Guam,08-Dec-2002,Shorts 330-200,N76NF,Freedom Air,0,Guam-A.B. Wo...,O1
Lebanon,25-Jan-2010,Boeing 737-8AS (WL),ET-ANB,Ethiopian Airlines,90,near Beirut Inter...,A1
Taiwan,21-Nov-1971,SE-210 Caravelle III,B-1852,China Airlines,25,near Penghu Island,C1
Australia,29-Oct-1943,Douglas C-47A (DC-3),42-24400,USAAF,,"Rockhampton,...",A1
Colombia,07-Dec-1948,Douglas C-47A (DC-3),HK-306,LANSA,,Bogotá,U1
USA,08-Aug-1947,Douglas DC-3C,NX88787,American Airlines,3,New York-La ...,A1
Russia,12-Feb-1981,Ilyushin Il-14T,CCCP-04188,"Aeroflot, Central Region",2,Krenkel Stat...,A1
Germany,29-Apr-1952,Douglas C-54A (DC-4),F-BELI,Air France,0,near Berlin,C2
Sudan,04-Jan-1995,Fokker 50?,,Sudan Airways,0,Port Sudan A...,H2
USA,09-Jun-1979,Beech 99,N454SA,Skystream Airlines,2,near Chicago-Merr...,A1
Turkey,16-May-2001,IPTN/CASA CN-235M-100,86,Turkish AF,34,near Malatya,A1
